FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2011/2012,Fraser,Chilliwack General Hospital,Cataract Surgery,720,5079,6.3,21.3
2011/2012,Fraser,Chilliwack General Hospital,Cholecystectomy,32,142,4.8,12.8
2011/2012,Fraser,Chilliwack General Hospital,Colostomy/Ileostomy,,10,6.4,13.5
2011/2012,Fraser,Chilliwack General Hospital,Cone Biopsy,5,54,3.9,7.8
2011/2012,Fraser,Chilliwack General Hospital,D&C and Related Surgery,,33,5.4,27.9
2011/2012,Fraser,Chilliwack General Hospital,Dental Surgery,,7,15.3,30.2
2011/2012,Fraser,Chilliwack General Hospital,Examination Under Anaesthetic,5,23,2.3,15.5
2011/2012,Fraser,Chilliwack General Hospital,Fallopian Tube/Ovarian Surgery,8,36,6.4,19.9
2011/2012,Fraser,Chilliwack General Hospital,Foot/Ankle Surgery,11,14,22.8,32.7
2011/2012,Fraser,Chilliwack General Hospital,Fracture Repair,,22,0.7,7.7
2011/2012,Fraser,Chilliwack General Hospital,Hand/Wrist Surgery,,7,6,15.3
2011/2012,Fraser,Chilliwack General Hospital,Hernia Repair - Abdominal,36,283,5.4,16.2
2011/2012,Fraser,Chilliwack General Hospital,Hip Replacement,19,106,5.6,9
2011/2012,Fraser,Chilliwack General Hospital,Kidney/Bladder Stone Removal,,11,2.7,10.7
2011/2012,Fraser,Chilliwack General Hospital,Knee - ACL Repair,14,42,7.7,23.3
2011/2012,Fraser,Chilliwack General Hospital,Knee Arthroscopy,32,128,6.1,25
2011/2012,Fraser,Chilliwack General Hospital,Knee Replacement,34,239,6,11
2011/2012,Fraser,Chilliwack General Hospital,Laparoscopy,9,34,6.9,28
2011/2012,Fraser,Chilliwack General Hospital,Laryngoscopy,,,9.2,12.6
2011/2012,Fraser,Chilliwack General Hospital,Ligament Surgery,,,11.1,17.5
2011/2012,Fraser,Chilliwack General Hospital,Male Reproductive Surgery,7,19,15.7,22.4
2011/2012,Fraser,Chilliwack General Hospital,Mastectomy,,44,1.9,4.9
2011/2012,Fraser,Chilliwack General Hospital,Nasal Surgery,47,82,31.3,39.8
2011/2012,Fraser,Chilliwack General Hospital,Nerve Surgery,,,8.9,11.9
2011/2012,Fraser,Chilliwack General Hospital,Other Joint Reconstruction,30,14,18.6,34.6
2011/2012,Fraser,Chilliwack General Hospital,Other Orthopaedic Surgery,33,70,6.6,28.4
2011/2012,Fraser,Chilliwack General Hospital,Other Urology Surgery,6,52,4.1,11.5
2011/2012,Fraser,Chilliwack General Hospital,Parotidectomy,,,3.4,4.7
2011/2012,Fraser,Chilliwack General Hospital,Prostate Surgery,19,107,4.7,11.1
2011/2012,Fraser,Chilliwack General Hospital,Rectal Surgery,,9,5.6,18.9
2011/2012,Fraser,Chilliwack General Hospital,Shoulder Surgery,,8,7.7,15
2011/2012,Fraser,Chilliwack General Hospital,Sinus Surgery,33,79,30.9,41.1
2011/2012,Fraser,Chilliwack General Hospital,Skin Tumour Removal,8,48,4,14
2011/2012,Fraser,Chilliwack General Hospital,Sphincterotomy,,6,8.9,12
2011/2012,Fraser,Chilliwack General Hospital,Tendon Surgery,,6,0.4,11.2
2011/2012,Fraser,Chilliwack General Hospital,Tonsillectomy/Adenoidectomy,18,30,18.9,40
2011/2012,Fraser,Chilliwack General Hospital,Tympanoplasty,9,24,32.2,44.2
2011/2012,Fraser,Chilliwack General Hospital,Uterine Surgery,118,259,9.6,29.5
2011/2012,Fraser,Chilliwack General Hospital,Vaginal Repair,31,43,14.1,27.9
2011/2012,Fraser,Chilliwack General Hospital,Vascular Surgery - Other,,25,1,2
2011/2012,Fraser,Chilliwack General Hospital,Wound/Laceration Care,13,18,5.1,27.1
2011/2012,Fraser,Delta Hospital,Abdominoplasty,,,0.6,0.8
2011/2012,Fraser,Delta Hospital,All Other Procedures,159,581,2,10.1
2011/2012,Fraser,Delta Hospital,All Procedures,959,5147,2.4,12.4
2011/2012,Fraser,Delta Hospital,Bariatric Surgery,,10,3.1,9.7
2011/2012,Fraser,Delta Hospital,Biopsy in OR,,17,1,2.1
2011/2012,Fraser,Delta Hospital,Bladder Surgery,30,263,3.4,12.7
2011/2012,Fraser,Delta Hospital,Breast Biopsy,16,98,2.1,5.7
2011/2012,Fraser,Delta Hospital,Breast Reconstruction,,,3.4,32.8
2011/2012,Fraser,Delta Hospital,Breast Reduction,28,103,4.7,25.8
2011/2012,Fraser,Delta Hospital,Cataract Surgery,107,728,6,16.4
2011/2012,Fraser,Delta Hospital,Cholecystectomy,48,398,1.4,8.3
2011/2012,Fraser,Delta Hospital,Cone Biopsy,,12,0.8,1.1
2011/2012,Fraser,Delta Hospital,D&C and Related Surgery,49,334,2,7.4
2011/2012,Fraser,Delta Hospital,Examination Under Anaesthetic,,20,0.9,10.3
2011/2012,Fraser,Delta Hospital,Excision Gynecomastia,,28,2.1,14.9
2011/2012,Fraser,Delta Hospital,Fallopian Tube/Ovarian Surgery,,24,1,5.5
2011/2012,Fraser,Delta Hospital,Fistula Repair - Non Vascular,,21,1.3,7.7
2011/2012,Fraser,Delta Hospital,Foot/Ankle Surgery,,24,3.9,23.5
2011/2012,Fraser,Delta Hospital,Fracture Repair,,6,0.7,1.3
2011/2012,Fraser,Delta Hospital,Hand/Wrist Surgery,6,53,2.3,7.9
2011/2012,Fraser,Delta Hospital,Hernia Repair - Abdominal,87,509,2.1,14
2011/2012,Fraser,Delta Hospital,Knee - ACL Repair,5,45,3,13
2011/2012,Fraser,Delta Hospital,Knee Arthroscopy,99,515,3,12.6
2011/2012,Fraser,Delta Hospital,Laparoscopy,,46,1.1,3.6
2011/2012,Fraser,Delta Hospital,Ligament Surgery,,,4.1,4.3
2011/2012,Fraser,Delta Hospital,Male Reproductive Surgery,5,11,3.3,7.3
2011/2012,Fraser,Delta Hospital,Mastectomy,5,70,1.2,3.7
2011/2012,Fraser,Delta Hospital,Nasal Surgery,10,33,4.9,17.5
2011/2012,Fraser,Delta Hospital,Other Eye Surgery,76,238,2,12.6
2011/2012,Fraser,Delta Hospital,Other Orthopaedic Surgery,7,78,4.2,11.8
2011/2012,Fraser,Delta Hospital,Prostate Surgery,,13,8.4,12.4
2011/2012,Fraser,Delta Hospital,Rectal Surgery,11,56,2.1,16.9
2011/2012,Fraser,Delta Hospital,Skin Surgery,,12,3,7.8
2011/2012,Fraser,Delta Hospital,Skin Tumour Removal,64,301,2,9.1
2011/2012,Fraser,Delta Hospital,Sphincterotomy,,,3.9,6.3
2011/2012,Fraser,Delta Hospital,Tendon Surgery,,6,1.1,4.7
2011/2012,Fraser,Delta Hospital,Tonsillectomy/Adenoidectomy,,8,7.6,13.7
2011/2012,Fraser,Delta Hospital,Uterine Surgery,59,310,1.7,4.6
2011/2012,Fraser,Delta Hospital,Vaginal Repair,20,43,4.3,9.7
2011/2012,Fraser,Delta Hospital,Varicose Veins Ligation/Stripping,15,37,14,33.9
2011/2012,Fraser,Delta Hospital,Wound/Laceration Care,13,44,3.1,9.6
2011/2012,Fraser,Eagle Ridge Hospital,Abdominoplasty,,,4.9,30.8
2011/2012,Fraser,Eagle Ridge Hospital,All Other Procedures,226,525,5.9,24.9
2011/2012,Fraser,Eagle Ridge Hospital,All Procedures,1985,5148,6.6,29.3
2011/2012,Fraser,Eagle Ridge Hospital,Biopsy in OR,,27,2,4.8
2011/2012,Fraser,Eagle Ridge Hospital,Bladder Surgery,28,101,3.6,26.7
2011/2012,Fraser,Eagle Ridge Hospital,Bowel Resection,,,7.3,22.3
2011/2012,Fraser,Eagle Ridge Hospital,Breast Biopsy,9,51,3.4,7.7
2011/2012,Fraser,Eagle Ridge Hospital,Breast Reconstruction,12,69,5.6,30.5
2011/2012,Fraser,Eagle Ridge Hospital,Breast Reduction,100,205,19.7,42.1
2011/2012,Fraser,Eagle Ridge Hospital,Cholecystectomy,128,307,6.4,22.3
2011/2012,Fraser,Eagle Ridge Hospital,Colostomy/Ileostomy,,6,3.4,10.4
2011/2012,Fraser,Eagle Ridge Hospital,D&C and Related Surgery,6,52,5.1,15.8
2011/2012,Fraser,Eagle Ridge Hospital,Dental Surgery,77,213,12.3,56.3
2011/2012,Fraser,Eagle Ridge Hospital,Examination Under Anaesthetic,8,33,7.6,23.8
2011/2012,Fraser,Eagle Ridge Hospital,Excision Gynecomastia,,18,6.3,32
2011/2012,Fraser,Eagle Ridge Hospital,Fallopian Tube/Ovarian Surgery,13,41,4.6,12.9
2011/2012,Fraser,Eagle Ridge Hospital,Fistula Repair - Non Vascular,,9,6.9,47.2
2011/2012,Fraser,Eagle Ridge Hospital,Foot/Ankle Surgery,,17,3.3,7.5
2011/2012,Fraser,Eagle Ridge Hospital,Fracture Repair,16,57,0.9,11.8
2011/2012,Fraser,Eagle Ridge Hospital,Free Flap Graft,,,3.9,32.4
2011/2012,Fraser,Eagle Ridge Hospital,Hand/Wrist Surgery,32,85,10,26.9
2011/2012,Fraser,Eagle Ridge Hospital,Hernia Repair - Abdominal,166,478,8.9,29.8
2011/2012,Fraser,Eagle Ridge Hospital,Hip Replacement,6,26,17.9,44.7
2011/2012,Fraser,Eagle Ridge Hospital,Knee - ACL Repair,57,141,7.1,34.7
2011/2012,Fraser,Eagle Ridge Hospital,Knee - Meniscectomy,,12,5.4,61.3
2011/2012,Fraser,Eagle Ridge Hospital,Knee Arthroscopy,78,312,4,21.1
2011/2012,Fraser,Eagle Ridge Hospital,Knee Replacement,47,55,27.3,50.8
2011/2012,Fraser,Eagle Ridge Hospital,Laparoscopy,11,46,3,12.9
2011/2012,Fraser,Eagle Ridge Hospital,Laparotomy,,5,4,5.1
2011/2012,Fraser,Eagle Ridge Hospital,Laryngoscopy,,21,3,25.4
2011/2012,Fraser,Eagle Ridge Hospital,Ligament Surgery,32,43,17.6,29.2
2011/2012,Fraser,Eagle Ridge Hospital,Male Reproductive Surgery,,25,2.9,9.4
2011/2012,Fraser,Eagle Ridge Hospital,Mastectomy,8,72,3.4,12.4
2011/2012,Fraser,Eagle Ridge Hospital,Mastoidectomy,,,5.7,10.2
2011/2012,Fraser,Eagle Ridge Hospital,Nasal Surgery,275,159,11.9,67.5
2011/2012,Fraser,Eagle Ridge Hospital,Nerve Surgery,13,30,4.5,28.5
2011/2012,Fraser,Eagle Ridge Hospital,Other Eye Surgery,,,2.7,3.6
2011/2012,Fraser,Eagle Ridge Hospital,Other Joint Reconstruction,13,26,3.6,27.1
2011/2012,Fraser,Eagle Ridge Hospital,Other Orthopaedic Surgery,96,256,6,27.5
2011/2012,Fraser,Eagle Ridge Hospital,Other Urology Surgery,5,30,3.7,12.8
2011/2012,Fraser,Eagle Ridge Hospital,Parotidectomy,6,30,5.9,22.7
2011/2012,Fraser,Eagle Ridge Hospital,Prostate Surgery,20,59,3,20.9
2011/2012,Fraser,Eagle Ridge Hospital,Rectal Surgery,47,141,7.6,25
2011/2012,Fraser,Eagle Ridge Hospital,Shoulder Surgery,40,138,7.4,23.4
2011/2012,Fraser,Eagle Ridge Hospital,Sinus Surgery,6,12,10,19.5
2011/2012,Fraser,Eagle Ridge Hospital,Skin Surgery,5,14,3.8,15.7
2011/2012,Fraser,Eagle Ridge Hospital,Skin Tumour Removal,41,153,3.6,14.3
2011/2012,Fraser,Eagle Ridge Hospital,Sphincterotomy,,7,5.3,10.2
2011/2012,Fraser,Eagle Ridge Hospital,Spinal/Back Surgery,144,339,7.4,34.6
2011/2012,Fraser,Eagle Ridge Hospital,Tendon Surgery,12,52,2,21.1
2011/2012,Fraser,Eagle Ridge Hospital,Thyroidectomy,44,140,6.2,22
2011/2012,Fraser,Eagle Ridge Hospital,Tonsillectomy/Adenoidectomy,27,81,8,29
2011/2012,Fraser,Eagle Ridge Hospital,Tympanoplasty,,13,7.7,26.4
2011/2012,Fraser,Eagle Ridge Hospital,Uterine Surgery,42,234,6.9,28
2011/2012,Fraser,Eagle Ridge Hospital,Vaginal Repair,,24,7.9,23.9
2011/2012,Fraser,Eagle Ridge Hospital,Varicose Veins Ligation/Stripping,10,16,9.7,27.6
2011/2012,Fraser,Eagle Ridge Hospital,Vascular Bypass Graft - Non Cardiac,,,10.7,15.4
2011/2012,Fraser,Eagle Ridge Hospital,Wound/Laceration Care,38,101,4.7,19.3
2011/2012,Fraser,Langley Memorial Hospital,All Other Procedures,110,585,4.3,17.6
2011/2012,Fraser,Langley Memorial Hospital,All Procedures,1703,5262,8.7,28.9
2011/2012,Fraser,Langley Memorial Hospital,Biopsy in OR,,26,1.9,3.6
2011/2012,Fraser,Langley Memorial Hospital,Bladder Surgery,74,223,4.7,29.7
2011/2012,Fraser,Langley Memorial Hospital,Bowel Resection,6,67,3,6.3
2011/2012,Fraser,Langley Memorial Hospital,Breast Biopsy,7,37,3,5.1
2011/2012,Fraser,Langley Memorial Hospital,Cataract Surgery,515,1381,16.4,27.4
2011/2012,Fraser,Langley Memorial Hospital,Cholecystectomy,58,214,6,36.2
2011/2012,Fraser,Langley Memorial Hospital,Colostomy/Ileostomy,,18,4.4,34.3
2011/2012,Fraser,Langley Memorial Hospital,D&C and Related Surgery,9,79,3.4,12.1
2011/2012,Fraser,Langley Memorial Hospital,Dental Surgery,41,134,5.6,18.4
2011/2012,Fraser,Langley Memorial Hospital,Examination Under Anaesthetic,,10,2.4,12.2
2011/2012,Fraser,Langley Memorial Hospital,Excision Gynecomastia,,,14.9,15.8
2011/2012,Fraser,Langley Memorial Hospital,Facial Bone Reconstruction,20,38,9,34.8
2011/2012,Fraser,Langley Memorial Hospital,Fallopian Tube/Ovarian Surgery,12,74,6.5,16.8
2011/2012,Fraser,Langley Memorial Hospital,Fistula Repair - Non Vascular,,5,14.6,25.1
2011/2012,Fraser,Langley Memorial Hospital,Foot/Ankle Surgery,5,,7.6,11.2
2011/2012,Fraser,Langley Memorial Hospital,Hand/Wrist Surgery,19,16,11.9,42.4
2011/2012,Fraser,Langley Memorial Hospital,Hernia Repair - Abdominal,118,294,12.1,46.6
2011/2012,Fraser,Langley Memorial Hospital,Hip Replacement,27,99,13.9,26.1
2011/2012,Fraser,Langley Memorial Hospital,Kidney/Bladder Stone Removal,7,27,4.1,15.3
2011/2012,Fraser,Langley Memorial Hospital,Knee - ACL Repair,19,45,20.9,36.8
2011/2012,Fraser,Langley Memorial Hospital,Knee Arthroscopy,169,336,14.4,36.9
2011/2012,Fraser,Langley Memorial Hospital,Knee Replacement,93,183,15.7,30.9
2011/2012,Fraser,Langley Memorial Hospital,Laparoscopy,9,71,3.4,9.6
2011/2012,Fraser,Langley Memorial Hospital,Laparotomy,,20,3.4,10.7
2011/2012,Fraser,Langley Memorial Hospital,Ligament Surgery,,12,9.9,19.9
2011/2012,Fraser,Langley Memorial Hospital,Male Reproductive Surgery,7,16,3.7,20.6
2011/2012,Fraser,Langley Memorial Hospital,Mastectomy,,26,2.1,5.9
2011/2012,Fraser,Langley Memorial Hospital,Nasal Surgery,7,20,8,15.6
2011/2012,Fraser,Langley Memorial Hospital,Nerve Surgery,,,13.4,56.4
2011/2012,Fraser,Langley Memorial Hospital,Other Joint Reconstruction,,8,5.6,24.9
2011/2012,Fraser,Langley Memorial Hospital,Other Orthopaedic Surgery,62,85,9,30.7
2011/2012,Fraser,Langley Memorial Hospital,Other Urology Surgery,13,109,3,7.5
2011/2012,Fraser,Langley Memorial Hospital,Parotidectomy,,,7.6,10.9
2011/2012,Fraser,Langley Memorial Hospital,Prostate Surgery,26,146,3.6,14.7
2011/2012,Fraser,Langley Memorial Hospital,Rectal Surgery,8,17,21.1,48.7
2011/2012,Fraser,Langley Memorial Hospital,Shoulder Surgery,64,105,21,38.4
2011/2012,Fraser,Langley Memorial Hospital,Sinus Surgery,5,29,7,13.3
2011/2012,Fraser,Langley Memorial Hospital,Skin Tumour Removal,30,96,7.2,28.5
2011/2012,Fraser,Langley Memorial Hospital,Tendon Surgery,,,6,8
2011/2012,Fraser,Langley Memorial Hospital,Thyroidectomy,,5,8,12
2011/2012,Fraser,Langley Memorial Hospital,Tonsillectomy/Adenoidectomy,,47,6.3,14
2011/2012,Fraser,Langley Memorial Hospital,Tympanoplasty,,,9.7,14.9
2011/2012,Fraser,Langley Memorial Hospital,Uterine Surgery,74,428,5.6,27.6
2011/2012,Fraser,Langley Memorial Hospital,Vaginal Repair,40,62,23.8,50.3
2011/2012,Fraser,Langley Memorial Hospital,Wound/Laceration Care,12,23,10.7,40.5
2011/2012,Fraser,Pattison Outpatient Centre,All Other Procedures,72,136,5.2,26.8
2011/2012,Fraser,Pattison Outpatient Centre,All Procedures,1203,1854,6.1,30.1
2011/2012,Fraser,Pattison Outpatient Centre,Biopsy in OR,,8,1.5,2.4
2011/2012,Fraser,Pattison Outpatient Centre,Bladder Surgery,40,31,5.6,20
2011/2012,Fraser,Pattison Outpatient Centre,Breast Biopsy,,31,2.3,3.9
2011/2012,Fraser,Pattison Outpatient Centre,Breast Reconstruction,22,51,6.4,14.1
2011/2012,Fraser,Pattison Outpatient Centre,Breast Reduction,38,74,11.1,38.2
2011/2012,Fraser,Pattison Outpatient Centre,Cholecystectomy,45,94,7.4,26.3
2011/2012,Fraser,Pattison Outpatient Centre,D&C and Related Surgery,39,59,6,17
2011/2012,Fraser,Pattison Outpatient Centre,Examination Under Anaesthetic,,,1.3,2
2011/2012,Fraser,Pattison Outpatient Centre,Excision Gynecomastia,10,12,20.9,34.9
2011/2012,Fraser,Pattison Outpatient Centre,Fallopian Tube/Ovarian Surgery,68,86,13.4,36.5
2011/2012,Fraser,Pattison Outpatient Centre,Hand/Wrist Surgery,6,13,4.3,14.4
2011/2012,Fraser,Pattison Outpatient Centre,Hernia Repair - Abdominal,81,158,8.2,33.8
2011/2012,Fraser,Pattison Outpatient Centre,Kidney/Bladder Stone Removal,41,180,3,6.1
2011/2012,Fraser,Pattison Outpatient Centre,Knee - ACL Repair,17,20,11.6,28.7
2011/2012,Fraser,Pattison Outpatient Centre,Knee Arthroscopy,67,74,11.3,24.9
2011/2012,Fraser,Pattison Outpatient Centre,Laparoscopy,12,23,8,20.7
2011/2012,Fraser,Pattison Outpatient Centre,Laryngoscopy,10,33,5.7,22.6
2011/2012,Fraser,Pattison Outpatient Centre,Male Reproductive Surgery,,5,0.9,8.7
2011/2012,Fraser,Pattison Outpatient Centre,Mastectomy,,27,2.1,3.1
2011/2012,Fraser,Pattison Outpatient Centre,Mastoidectomy,18,16,8.8,49.9
2011/2012,Fraser,Pattison Outpatient Centre,Nasal Surgery,203,148,21.9,44.4
2011/2012,Fraser,Pattison Outpatient Centre,Other Joint Reconstruction,,,4.4,4.4
2011/2012,Fraser,Pattison Outpatient Centre,Other Orthopaedic Surgery,11,34,4.1,28
2011/2012,Fraser,Pattison Outpatient Centre,Other Urology Surgery,12,11,10.7,18.9
2011/2012,Fraser,Pattison Outpatient Centre,Parotidectomy,,,13.6,35.5
2011/2012,Fraser,Pattison Outpatient Centre,Prostate Surgery,17,14,9.5,16.9
2011/2012,Fraser,Pattison Outpatient Centre,Rectal Surgery,46,45,8,29.8
2011/2012,Fraser,Pattison Outpatient Centre,Shoulder Surgery,,5,7.3,16.9
2011/2012,Fraser,Pattison Outpatient Centre,Sinus Surgery,106,106,19.6,33
2011/2012,Fraser,Pattison Outpatient Centre,Skin Surgery,,12,2.4,13.7
2011/2012,Fraser,Pattison Outpatient Centre,Skin Tumour Removal,27,69,2.6,16.8
2011/2012,Fraser,Pattison Outpatient Centre,Sphincterotomy,9,,1.4,2.5
2011/2012,Fraser,Pattison Outpatient Centre,Tendon Surgery,,5,1.3,6
2011/2012,Fraser,Pattison Outpatient Centre,Tonsillectomy/Adenoidectomy,43,49,8.1,36.8
2011/2012,Fraser,Pattison Outpatient Centre,Tympanoplasty,54,43,20.4,47.5
2011/2012,Fraser,Pattison Outpatient Centre,Uterine Surgery,25,34,6.1,21.9
2011/2012,Fraser,Pattison Outpatient Centre,Varicose Veins Ligation/Stripping,,,4.8,5.6
2011/2012,Fraser,Pattison Outpatient Centre,Vascular Surgery - Other,33,109,3,8
2011/2012,Fraser,Pattison Outpatient Centre,Wound/Laceration Care,,7,5.6,22.1
2011/2012,Fraser,Peace Arch Hospital,All Other Procedures,77,307,4.4,16
2011/2012,Fraser,Peace Arch Hospital,All Procedures,1706,3347,8.3,44.2
2011/2012,Fraser,Peace Arch Hospital,Biopsy in OR,,21,2.4,7
2011/2012,Fraser,Peace Arch Hospital,Bladder Surgery,12,101,3.9,9.6
2011/2012,Fraser,Peace Arch Hospital,Bowel Resection,8,83,2.7,6
2011/2012,Fraser,Peace Arch Hospital,Breast Biopsy,11,49,2.3,5.6
2011/2012,Fraser,Peace Arch Hospital,Breast Reduction,,13,2.1,3.2
2011/2012,Fraser,Peace Arch Hospital,Cataract Surgery,468,861,33,60.3
2011/2012,Fraser,Peace Arch Hospital,Cholecystectomy,42,147,5.1,13.1
2011/2012,Fraser,Peace Arch Hospital,Colostomy/Ileostomy,,12,7.1,12
2011/2012,Fraser,Peace Arch Hospital,Cone Biopsy,6,34,3.6,12.8
2011/2012,Fraser,Peace Arch Hospital,D&C and Related Surgery,17,75,3.3,10.8
2011/2012,Fraser,Peace Arch Hospital,Dental Surgery,,13,9,13.8
2011/2012,Fraser,Peace Arch Hospital,Examination Under Anaesthetic,,8,3.1,19.4
2011/2012,Fraser,Peace Arch Hospital,Excision Gynecomastia,,7,7,51.7
2011/2012,Fraser,Peace Arch Hospital,Facial Bone Reconstruction,9,25,9.3,13
2011/2012,Fraser,Peace Arch Hospital,Fallopian Tube/Ovarian Surgery,17,31,4.1,23.3
2011/2012,Fraser,Peace Arch Hospital,Fistula Repair - Non Vascular,,9,5.4,10.9
2011/2012,Fraser,Peace Arch Hospital,Foot/Ankle Surgery,53,6,52.8,102.4
2011/2012,Fraser,Peace Arch Hospital,Fracture Repair,10,16,3.5,51.7
2011/2012,Fraser,Peace Arch Hospital,Hand/Wrist Surgery,18,16,8.8,36.8
2011/2012,Fraser,Peace Arch Hospital,Hernia Repair - Abdominal,110,350,7.4,24.2
2011/2012,Fraser,Peace Arch Hospital,Hip Replacement,38,91,12,28
2011/2012,Fraser,Peace Arch Hospital,Knee - ACL Repair,46,23,24.9,51.7
2011/2012,Fraser,Peace Arch Hospital,Knee Arthroscopy,194,124,42.1,104.2
2011/2012,Fraser,Peace Arch Hospital,Knee Replacement,79,142,13,31.8
2011/2012,Fraser,Peace Arch Hospital,Laparoscopy,10,19,4.9,16.9
2011/2012,Fraser,Peace Arch Hospital,Laparotomy,,21,3,8.7
2011/2012,Fraser,Peace Arch Hospital,Ligament Surgery,,7,1.3,4.8
2011/2012,Fraser,Peace Arch Hospital,Male Reproductive Surgery,,15,6.3,12.8
2011/2012,Fraser,Peace Arch Hospital,Mastectomy,5,62,2.2,4.8
2011/2012,Fraser,Peace Arch Hospital,Nasal Surgery,28,72,8.6,24.5
2011/2012,Fraser,Peace Arch Hospital,Other Eye Surgery,,23,4,14.3
2011/2012,Fraser,Peace Arch Hospital,Other Joint Reconstruction,16,,20.4,50.2
2011/2012,Fraser,Peace Arch Hospital,Other Orthopaedic Surgery,103,66,15.6,41.7
2011/2012,Fraser,Peace Arch Hospital,Other Urology Surgery,11,60,4.4,13
2011/2012,Fraser,Peace Arch Hospital,Prostate Surgery,19,118,5.4,15.3
2011/2012,Fraser,Peace Arch Hospital,Rectal Surgery,,17,3.7,14
2011/2012,Fraser,Peace Arch Hospital,Shoulder Surgery,109,26,21.5,46.8
2011/2012,Fraser,Peace Arch Hospital,Skin Surgery,,9,2.6,10.6
2011/2012,Fraser,Peace Arch Hospital,Skin Tumour Removal,31,60,3.6,14.8
2011/2012,Fraser,Peace Arch Hospital,Tendon Surgery,11,14,3.1,25.6
2011/2012,Fraser,Peace Arch Hospital,Tonsillectomy/Adenoidectomy,,,19.6,22.8
2011/2012,Fraser,Peace Arch Hospital,Uterine Surgery,71,129,5.3,25.2
2011/2012,Fraser,Peace Arch Hospital,Vaginal Repair,29,24,15.7,54.1
2011/2012,Fraser,Peace Arch Hospital,Wound/Laceration Care,13,20,8.4,17.1
2011/2012,Fraser,Ridge Meadows Hospital,All Other Procedures,85,624,3.1,12.9
2011/2012,Fraser,Ridge Meadows Hospital,All Procedures,1560,6733,7.3,32.1
2011/2012,Fraser,Ridge Meadows Hospital,Biopsy in OR,,25,2.1,3.1
